run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
1,user1,user12;user3,0.3333333333333333,0.5,0.0,1.0,0.8022222222222222,15,30,45
2,user2,user1;user6,0.9777777777777777,0.9666666666666667,0.06666666666666667,0.0,0.9977777777777778,15,30,45
3,user3,user8;user10,0.9333333333333333,0.9,0.2,0.0,0.96,15,30,45
4,user4,user6;user8,0.6,0.7,0.0,0.6,0.8155555555555556,15,30,45
5,user5,user2;user8,0.9555555555555556,0.95,0.06666666666666667,0.03333333333333333,0.9911111111111112,15,30,45
6,user6,user7;user2,0.9777777777777777,0.9666666666666667,0.06666666666666667,0.0,1.0,15,30,45
7,user7,user10;user6,1.0,1.0,0.0,0.0,1.0,15,30,45
8,user8,user2;user6,1.0,1.0,0.0,0.0,1.0,15,30,45
9,user9,user8;user5,0.6444444444444445,0.7166666666666667,0.06666666666666667,0.5,0.7044444444444444,15,30,45
10,user10,user4;user9,0.9777777777777777,0.9833333333333334,0.0,0.03333333333333333,0.9955555555555555,15,30,45
11,user11,user5;user1,0.6666666666666666,0.75,0.0,0.5,0.7733333333333333,15,30,45
12,user12,user10;user4,0.9777777777777777,0.9666666666666667,0.06666666666666667,0.0,1.0,15,30,45
