run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
1,user1;user2,user4;user3;user7,0.6933333333333334,0.7111111111111111,0.26666666666666666,0.3333333333333333,0.7303703703703703,30,45,75
2,user1;user3,user2;user7;user5,0.8533333333333334,0.8592592592592592,0.13333333333333333,0.15555555555555556,0.9544444444444445,30,45,75
3,user1;user4,user9;user11;user3,0.96,0.9481481481481482,0.06666666666666667,0.022222222222222223,0.9851851851851852,30,45,75
4,user1;user5,user7;user9;user10,0.6,0.7481481481481481,0.06666666666666667,0.6222222222222222,0.7488888888888889,30,45,75
5,user1;user6,user3;user9;user2,0.92,0.8666666666666667,0.2,0.0,0.9985185185185185,30,45,75
6,user1;user7,user8;user3;user9,0.92,0.8666666666666667,0.2,0.0,1.0,30,45,75
7,user1;user8,user11;user7;user4,0.88,0.9333333333333332,0.0,0.2,0.9400000000000001,30,45,75
8,user1;user9,user3;user7;user8,0.9733333333333334,0.9555555555555556,0.06666666666666667,0.0,0.9888888888888889,30,45,75
9,user1;user10,user9;user6;user7,0.7733333333333333,0.8148148148148149,0.13333333333333333,0.28888888888888886,0.7881481481481482,30,45,75
10,user1;user11,user5;user10;user4,0.3466666666666667,0.5777777777777778,0.1,1.0,0.9111111111111112,30,45,75
11,user1;user12,user6;user2;user9,0.96,0.9481481481481481,0.06666666666666667,0.022222222222222223,0.9933333333333334,30,45,75
12,user2;user3,user12;user6;user10,0.30666666666666664,0.5111111111111111,0.23333333333333334,1.0,0.7400000000000001,30,45,75
13,user2;user4,user5;user10;user7,0.96,0.9333333333333332,0.1,0.0,1.0,30,45,75
14,user2;user5,user3;user6;user4,0.7733333333333333,0.8296296296296296,0.1,0.3111111111111111,0.8237037037037037,30,45,75
15,user2;user6,user11;user1;user10,0.9733333333333334,0.9555555555555556,0.06666666666666667,0.0,0.9888888888888889,30,45,75
16,user2;user7,user1;user8;user12,0.88,0.7999999999999999,0.3,0.0,0.9755555555555556,30,45,75
17,user2;user8,user12;user5;user11,0.96,0.9333333333333332,0.1,0.0,1.0,30,45,75
18,user2;user9,user5;user3;user10,0.37333333333333335,0.6074074074074075,0.1,0.9777777777777777,0.5362962962962963,30,45,75
19,user2;user10,user6;user12;user4,0.9733333333333334,0.9555555555555556,0.06666666666666667,0.0,1.0,30,45,75
20,user2;user11,user9;user4;user5,0.9866666666666667,0.9777777777777779,0.03333333333333333,0.0,1.0,30,45,75
21,user2;user12,user11;user4;user3,0.7866666666666666,0.8666666666666667,0.03333333333333333,0.3333333333333333,0.7244444444444444,30,45,75
22,user3;user4,user10;user12;user7,0.9733333333333334,0.9555555555555556,0.06666666666666667,0.0,1.0,30,45,75
23,user3;user5,user10;user2;user9,0.5466666666666666,0.7185185185185184,0.06666666666666667,0.7111111111111111,0.6311111111111111,30,45,75
24,user3;user6,user9;user7;user11,0.92,0.8666666666666666,0.2,0.0,0.9748148148148148,30,45,75
25,user3;user7,user2;user6;user9,0.7066666666666667,0.7037037037037037,0.3,0.28888888888888886,0.8140740740740742,30,45,75
26,user3;user8,user2;user12;user9,0.8133333333333334,0.8814814814814814,0.03333333333333333,0.28888888888888886,0.8385185185185186,30,45,75
