run_idx,known_users,unknown_users,overall_accuracy,balanced_accuracy,FRR,FAR,ROC_AUC,n_known_samples,n_unknown_samples,n_test_windows
1,user1;user2;user3,user5;user4;user9;user6,0.9523809523809523,0.9166666666666667,0.06666666666666667,0.0,0.5677777777777777,45,60,105
2,user1;user2;user4,user3;user8;user9;user5,0.7904761904761904,0.8208333333333334,0.15555555555555556,0.25,0.8168518518518518,45,60,105
3,user1;user2;user5,user10;user4;user11;user7,0.7523809523809524,0.8666666666666667,0.044444444444444446,0.4,0.7944444444444444,45,60,105
4,user1;user2;user6,user8;user10;user7;user5,0.9333333333333333,0.8833333333333333,0.15555555555555556,0.0,1.0,45,60,105
5,user1;user2;user7,user4;user10;user3;user8,0.780952380952381,0.8041666666666667,0.17777777777777778,0.25,0.8344444444444444,45,60,105
6,user1;user2;user8,user9;user4;user6;user7,0.9714285714285714,0.95,0.06666666666666667,0.0,0.9596296296296296,45,60,105
7,user1;user2;user9,user12;user8;user4;user7,0.8952380952380953,0.9041666666666667,0.08888888888888889,0.11666666666666667,0.9596296296296296,45,60,105
8,user1;user2;user10,user4;user8;user6;user3,0.8571428571428571,0.9375,0.0,0.25,0.8177777777777777,45,60,105
9,user1;user2;user11,user10;user7;user5;user8,0.9523809523809523,0.9166666666666667,0.08888888888888889,0.0,0.965925925925926,45,60,105
10,user1;user2;user12,user6;user5;user4;user9,0.9523809523809523,0.9166666666666667,0.1111111111111111,0.0,1.0,45,60,105
11,user1;user3;user4,user8;user2;user9;user12,0.8571428571428571,0.825,0.2,0.1,0.8448148148148148,45,60,105
12,user1;user3;user5,user7;user11;user8;user9,0.7333333333333333,0.8583333333333334,0.044444444444444446,0.43333333333333335,0.851111111111111,45,60,105
13,user1;user3;user6,user5;user11;user8;user12,0.8095238095238095,0.8666666666666667,0.08888888888888889,0.26666666666666666,0.9796296296296296,45,60,105
14,user1;user3;user7,user4;user6;user12;user9,0.8285714285714286,0.8375,0.15555555555555556,0.18333333333333332,0.9685185185185184,45,60,105
15,user1;user3;user8,user12;user2;user6;user9,0.8666666666666667,0.9291666666666667,0.022222222222222223,0.21666666666666667,0.8681481481481481,45,60,105
16,user1;user3;user9,user2;user8;user7;user10,0.7142857142857143,0.8125,0.1111111111111111,0.4166666666666667,0.7785185185185185,45,60,105
17,user1;user3;user10,user6;user12;user8;user9,0.7047619047619048,0.8583333333333334,0.022222222222222223,0.5,0.9259259259259259,45,60,105
18,user1;user3;user11,user6;user4;user8;user12,0.6,0.7375,0.1111111111111111,0.5833333333333334,0.8607407407407407,45,60,105
19,user1;user3;user12,user7;user11;user10;user4,0.9142857142857143,0.9125,0.08888888888888889,0.08333333333333333,0.971111111111111,45,60,105
20,user1;user4;user5,user11;user6;user8;user3,0.9238095238095239,0.9666666666666667,0.0,0.13333333333333333,0.9662962962962963,45,60,105
21,user1;user4;user6,user5;user3;user10;user11,0.9523809523809523,0.9166666666666666,0.1111111111111111,0.0,0.995925925925926,45,60,105
22,user1;user4;user7,user11;user12;user5;user10,0.8285714285714286,0.8625,0.1111111111111111,0.21666666666666667,0.9496296296296296,45,60,105
23,user1;user4;user8,user11;user3;user9;user7,0.9523809523809523,0.9416666666666667,0.06666666666666667,0.03333333333333333,0.9625925925925926,45,60,105
24,user1;user4;user9,user10;user7;user5;user11,0.6761904761904762,0.8333333333333334,0.044444444444444446,0.5333333333333333,0.7944444444444444,45,60,105
25,user1;user4;user10,user3;user7;user6;user12,0.9619047619047619,0.9333333333333333,0.08888888888888889,0.0,1.0,45,60,105
26,user1;user4;user11,user3;user12;user9;user6,0.8476190476190476,0.8833333333333333,0.08888888888888889,0.2,0.9692592592592593,45,60,105
27,user1;user4;user12,user10;user3;user7;user9,0.9619047619047619,0.9333333333333333,0.08888888888888889,0.0,0.997037037037037,45,60,105
